subject_id,baseline,endline,TOL_move_count1_bl,TOL_RT1_bl,TOL_move_count2_bl,TOL_RT2_bl,TOL_move_count3_bl,TOL_RT3_bl,TOL_move_count4_bl,TOL_RT4_bl,TOL_minimum_moves1_bl,TOL_minimum_moves2_bl,TOL_minimum_moves3_bl,TOL_minimum_moves4_bl,TOL_total_bl,land_ownership_bl,water_treatment_bl,water_treatment_frequency_bl,chlorinelastmonth_bl,treatment_actual,children_rec,education_rec,village_id,treatment,treatment0,treatment1,treatment2,treatment3,employed,married,age,BADS_RT1_end,BADS_RT2_end,BADS_RT3_end,BADS_RT4_end,BADS_RT5_end,BADS_RT6_end,BADS_RT7_end,BADS_RT8_end,BADS_RT9_end,BADS_response1_end,BADS_response2_end,BADS_response3_end,BADS_response4_end,BADS_response5_end,BADS_response6_end,BADS_response7_end,BADS_response8_end,BADS_response9_end,water_treatment_end,water_treatment_frequency_end,chlorinelastmonth_end,TOL_move_count1_end,TOL_RT1_end,TOL_move_count2_end,TOL_RT2_end,TOL_move_count3_end,TOL_RT3_end,TOL_move_count4_end,TOL_RT4_end,TOL_pass1_end,TOL_pass2_end,TOL_pass3_end,TOL_pass4_end,TOL_pass_total_end,TOL_total_end,BADS_AC_SS_end,BADS_AV_SS_end,BADS_scale_end,water_treatment_binary_end,work_hrs_daily_end,work_days_perwk_end,earnings_1wk_total_end,chlorine_treatment_end,tcr_end
153663,1,1,1,13.422,2,77.531998,5,103.109,10,81.469002,1,2,2,4,18,Yes,Chlorine,Most of the time,Yes,3,2,Primary,1,3,0,0,0,1,0,1,26,177.85899,17.407,18.437,17.608999,25.141001,16.422001,11.484,25.735001,16.437,5,7,1,7,5,7,7,5,5,Chlorine,Most of the time,Yes,1,60.812,2,23.281,2,41.047001,10,214.703,1,1,1,0,3,15,20,4,24,1,7,7,100,No,0
153664,0,1,,,,,,,,,,,,,,,,,,,2,Secondary,1,0,1,0,0,0,0,1,23,232.96899,31.297001,41.264999,16.719,26.469,30.202999,32.827999,16.922001,18.327999,3,7,2,7,5,1,1,5,5,Chlorine,Always,Yes,1,26.858999,10,182.735,2,31.781,10,66.188004,1,0,1,0,2,23,21,18,39,1,0,0,0,No,0
153665,1,1,3,19.797001,10,52.187,4,43.172001,10,115.484,1,2,2,4,27,Yes,Chlorine,Most of the time,Yes,3,1,Secondary,1,3,0,0,0,1,0,1,28,210.82899,28.156,116.89,35.875,36.594002,23.891001,45.155998,31.422001,67.844002,5,3,3,3,3,1,5,7,3,Chlorine,Always,Yes,1,12.391,4,57.905998,10,54.782001,4,30.077999,1,1,0,1,3,19,10,10,20,1,0,0,0,Yes,1
153666,0,1,,,,,,,,,,,,,,,,,,,4,Primary,1,0,1,0,0,0,0,1,22,347.93701,28.797001,34.125,18.969,35.577999,36.280998,22.608999,15.86,23.764999,7,5,3,5,3,1,5,7,7,Chlorine,Most of the time,Yes,2,34.827999,2,22.264999,2,19.219,4,24.733999,1,1,1,1,4,10,18,8,26,1,2,7,2100,No,0
153667,1,1,1,149.078,10,329.31201,10,292.703,10,99.531998,1,2,2,4,31,Yes,Boil,Most of the time,Yes,3,1,Primary,1,3,0,0,0,1,0,1,20,157.15601,34.938,23.156,21.202999,17.219,14.328,23.891001,17,43.155998,3,3,5,7,1,5,7,5,1,Strain through cloth,Most of the time,No,2,10.969,10,170.25,2,22.219,5,18.577999,1,0,1,1,3,19,12,8,20,1,6,12,1150,No,0
153668,0,1,,,,,,,,,,,,,,,,,,,3,Secondary,1,3,0,0,0,1,0,1,24,276.34299,94.781998,72.609001,37.344002,33.155998,26.5,33.780998,9.1099997,15.937,7,4,1,7,7,7,5,1,7,Chlorine,Always,Yes,4,104.187,10,357.875,6,39.172001,9,124.656,1,0,1,1,3,29,21,8,29,1,0,0,0,Yes,1
153669,1,1,1,23.422001,10,92,2,52.422001,6,46.672001,1,2,2,4,19,Yes,Chlorine,Always,Yes,1,4,Primary,16,1,0,1,0,0,1,1,31,187.672,38.530998,37.657001,21.608999,32.562,48.157001,31.062,18.844,29.719,7,7,5,5,7,3,5,7,7,Chlorine,Always,Yes,1,17.781,10,65.389999,2,13.719,9,169.84399,1,0,1,1,3,22,26,6,32,1,10,13,1450,No,1
153670,0,1,,,,,,,,,,,,,,,,,,,1,Secondary,16,0,1,0,0,0,0,1,19,198.125,44.155998,20.031,46.844002,40.265999,27.656,27.702999,22.75,22.812,3,3,3,3,5,1,1,3,5,Boil,Always,No,1,8.6569996,3,18.483999,2,20.031,10,89.859001,1,1,1,0,3,16,14,20,34,1,0,0,0,No,0
153671,1,1,1,40.405998,10,67.609001,5,56.140999,10,397.51501,1,2,2,4,26,No,Chlorine,Occasionally,Yes,2,1,Secondary,74,2,0,0,1,0,0,0,18,168.453,17.047001,29.75,14.515,58.360001,32.155998,27.391001,29.514999,18.360001,5,3,5,5,5,5,5,3,5,Chlorine,Always,Yes,1,17.093,10,76.563004,2,9.3120003,10,78.844002,1,0,1,0,2,23,18,10,28,1,0,0,0,No,0
153672,1,1,1,54.014999,10,83.579002,6,36.625,10,89.735001,1,2,2,4,27,Yes,Water filter,Occasionally,No,1,4,Secondary,74,1,0,1,0,0,1,1,28,272,65.390999,74.545998,47.313,27.687,20.860001,29.297001,17.983999,21.938,1,7,7,1,1,7,7,7,1,Chlorine,Always,Yes,1,19.639999,10,33.922001,2,18.047001,10,76.984001,1,0,1,0,2,23,12,6,18,1,0,0,0,No,0
153673,0,1,,,,,,,,,,,,,,,,,,,5,Secondary,74,0,1,0,0,0,0,1,34,131.75,57,22.063,38.422001,20.546,29.907,26.452999,22.406,21.641001,3,3,7,7,7,1,5,7,3,Chlorine,Most of the time,No,2,33.405998,10,42.405998,2,14.094,10,76.780998,1,0,1,0,2,24,22,12,34,1,0,0,0,No,0
153674,0,1,,,,,,,,,,,,,,,,,,,5,Primary,74,0,1,0,0,0,1,1,28,344.078,40.844002,80.921997,100.125,34.094002,35.797001,25.921,30.829,25.296,5,7,7,7,5,5,7,3,5,Chlorine,Always,Yes,1,30.906,10,220.078,2,22.407,7,76.594002,1,0,1,1,3,20,26,8,34,1,0,0,0,No,0
153675,1,1,1,30.406,10,332.60901,10,230.422,5,160.735,1,2,2,4,26,Yes,Do not treat,Never,No,1,4,Primary,74,1,0,1,0,0,1,1,29,323.48401,89.796997,21.172001,6.75,11.219,111.328,11.406,14.297,8.5469999,5,7,6,7,4,1,3,4,5,Chlorine,Always,Yes,6,85.719002,5,31.360001,2,24.858999,10,156.343,0,1,1,0,2,23,24,15,39,1,6,6,2170,Yes,0
153676,0,1,,,,,,,,,,,,,,,,,,,5,Primary,74,0,1,0,0,0,0,1,34,204.922,76.265999,99.5,64.984001,50.030998,70.688004,15,9.4530001,31.702999,7,7,7,4,5,7,4,3,4,Stand and settle,Always,Yes,1,18.547001,5,85.640999,10,57.235001,10,45.437,1,1,0,0,2,26,22,7,29,1,0,0,0,No,0
153677,0,1,,,,,,,,,,,,,,,,,,,3,Primary,74,0,1,0,0,0,1,1,27,262.75,42.905998,34.390999,22.547001,42,54.484001,42.75,43.202999,25.594,7,5,5,7,5,1,7,7,7,Water filter,Occasionally,Yes,1,32.547001,10,154.25,5,32.985001,10,181.813,1,0,1,0,2,26,24,6,30,1,12,8,1650,No,0
153678,1,1,1,12.546,10,156.063,3,36.514999,6,145,1,2,2,4,20,Yes,Chlorine,Always,Yes,1,4,Secondary,74,1,0,1,0,0,1,1,34,120.578,49.219002,20.625,24.406,35.015999,23.406,24.952999,20.219,37.172001,3,7,7,7,7,7,7,7,7,Chlorine,Always,Yes,1,11.969,2,37.938,2,20.046,9,175.687,1,1,1,1,4,14,30,4,34,1,0,0,0,Yes,1
153679,1,1,1,37.313,6,236.25,5,216.375,7,117.094,1,2,2,4,19,Yes,Chlorine,Always,Yes,1,4,Secondary,74,1,0,1,0,0,1,1,30,115.047,30.062,26.188,25.968,38.125,36.438,34.702999,40.844002,31.219,1,3,5,7,7,5,1,3,5,Boil,Occasionally,Yes,1,4.5,3,22.438,2,12.438,10,192.312,1,1,1,0,3,16,22,18,40,1,0,0,0,Yes,0
153680,1,1,2,42.032001,10,143.65601,2,26.063,7,97.436996,1,2,2,4,21,No,Do not treat,Occasionally,No,2,3,Secondary,74,2,0,0,1,0,0,1,27,224.04601,88.125,21.344,18.938,11.734,20.281,14.016,18.719,11.156,7,1,7,7,7,7,7,7,7,Chlorine,Always,Yes,1,12.828,2,54.890999,2,29.077999,7,139.875,1,1,1,1,4,12,24,0,24,1,0,0,0,No,0
153681,1,1,1,42.407001,10,190.25,5,140.09399,5,79.030998,1,2,2,4,21,Yes,Boil,Most of the time,Yes,3,2,Primary,74,3,0,0,0,1,0,1,25,122.828,75.110001,25.343,52.047001,17.313,18.077999,18.594,19.406,11.562,7,7,3,5,5,7,7,1,7,Chlorine,Always,Yes,1,23.219,10,379.03101,10,322.875,10,41.202999,1,0,0,0,1,31,22,6,28,1,0,0,0,Yes,0
153682,1,1,1,37.280998,10,300.172,2,21.516001,10,169.26601,1,2,2,4,23,No,Chlorine,Most of the time,Yes,3,3,Primary,74,3,0,0,0,1,0,1,24,198.922,41.655998,60.905998,21,22.969,98.561996,12.11,16.702999,51.672001,3,5,5,5,5,5,5,5,5,Chlorine,Occasionally,Yes,3,45.063,8,129.46899,4,29,10,361.047,1,1,1,0,3,25,20,10,30,1,0,0,0,Yes,0
153683,1,1,,,,,,,,,,,,,,,,,,1,1,Primary,74,1,0,1,0,0,0,1,19,143.015,26.954,26.875,36.984001,22.547001,43.219002,33.139999,42.890999,29.608999,5,7,5,5,5,7,7,3,7,Chlorine,Occasionally,Yes,1,11.766,10,93.985001,5,15.953,10,82.969002,1,0,1,0,2,26,24,6,30,1,0,0,0,No,0
153684,1,1,1,11.281,8,289.14099,10,300.21899,6,114.484,1,2,2,4,25,Yes,Chlorine,Occasionally,No,1,4,Primary,74,1,0,1,0,0,1,0,29,363.31201,30.641001,46.734001,22.202999,14.078,19.922001,26.782,33.139999,14.25,7,7,5,3,4,7,6,5,7,Strain through cloth,Always,No,1,17.844,10,147.46899,10,182.297,10,73.094002,1,0,0,0,1,31,21,3,24,1,8,6,500,No,0
153685,1,1,2,38.780998,2,23.969,2,11.25,10,156.578,1,2,2,4,16,Yes,Chlorine,Most of the time,Yes,2,4,Primary,78,2,0,0,1,0,0,1,34,201.188,83.125,12.203,19.202999,16.766001,17.889999,17,14.828,12.313,5,7,7,7,5,5,7,5,7,Chlorine,Most of the time,Yes,1,417.96899,2,25.577999,2,11.187,8,60.547001,1,1,1,1,4,13,28,6,34,1,8,6,3100,No,0
153686,1,1,6,133.093,10,73.515999,10,101.985,10,89.829002,1,2,2,4,36,Yes,Water filter,Always,Yes,1,3,Primary,78,1,0,1,0,0,0,1,24,259.71899,29.281,28.5,37.265999,32.155998,28.437,48.094002,49.265999,10.25,7,7,5,7,5,3,7,3,5,Strain through cloth,Occasionally,Yes,1,21.469,8,87.484001,2,17.781,10,557,1,1,1,0,3,21,24,8,32,1,0,0,0,No,0
153687,0,0,,,,,,,,,,,,,,,,,,,6,Primary,78,0,1,0,0,0,1,1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153688,1,1,2,20.594,10,68.280998,3,24.375,10,463.23499,1,2,2,4,25,Yes,Do not treat,Never,Yes,3,1,Secondary,78,3,0,0,0,1,1,1,22,285.09399,17.233999,24.063,47.655998,30.391001,15.344,43.077999,19.983999,23.25,7,5,5,3,7,4,7,5,5,Boil,Occasionally,Yes,1,45.797001,3,19.75,4,34.735001,9,119,1,1,1,1,4,17,20,5,25,1,0,0,0,No,0
153689,0,0,,,,,,,,,,,,,,,,,,,1,Secondary,78,2,0,0,1,0,0,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153690,1,1,2,33.578999,10,87.954002,2,151.532,10,102.297,1,2,2,4,24,Yes,Do not treat,Never,No,3,3,Secondary,78,3,0,0,0,1,0,1,32,189.64101,78.234001,17.125,19.141001,12.234,23.766001,15.531,10.282,13.75,1,1,1,1,1,5,5,1,1,Stand and settle,Always,No,1,26.938,2,30.093,3,45.609001,10,211.39101,1,1,1,0,3,16,0,16,16,1,0,0,0,No,0
153691,0,1,,,,,,,,,,,,,,,,,,,2,Primary,78,0,1,0,0,0,0,1,26,291.53201,202.062,29.875,29.235001,27.358999,34.25,25.702999,18.219,9.1090002,6,6,6,5,6,4,4,5,5,Stand and settle,Always,Yes,6,41.172001,10,43.812,10,114.532,10,43.953999,0,0,0,0,0,36,23,9,32,1,0,0,0,No,0
153692,1,1,1,18.202999,10,121.515,2,31.389999,10,177.657,1,2,2,4,23,Yes,Chlorine,Always,No,2,1,Secondary,78,2,0,0,1,0,1,1,27,186.21899,101.672,17.25,18.907,11.062,26.702999,16.156,12.344,12.672,3,1,5,7,5,7,5,7,3,Chlorine,Always,No,1,19.266001,2,19.656,2,14.953,9,92.953003,1,1,1,1,4,14,16,6,22,1,0,0,0,No,0
153693,0,0,,,,,,,,,,,,,,,,,,,2,Secondary,78,3,0,0,0,1,0,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153694,0,1,,,,,,,,,,,,,,,,,,,0,Secondary,78,0,1,0,0,0,0,1,19,226.64101,80.469002,51.717999,31.375,31.469,55.734001,18.266001,52.015999,6.3429999,4,7,7,7,7,5,7,1,7,Stand and settle,Always,No,1,23.672001,10,57.344002,3,28.360001,10,119.562,1,0,1,0,2,24,30,11,41,1,0,0,0,No,0
153695,1,1,2,56.187,8,223.907,2,56.952999,10,351.328,1,2,2,4,22,Yes,Chlorine,Occasionally,Yes,2,6,Primary,78,2,0,0,1,0,1,1,22,196.985,88.796997,11.906,16.108999,12.672,18.844,16.437,19.327999,7.3439999,1,7,3,3,1,7,7,7,7,Chlorine,Always,Yes,1,187.21899,4,69.75,2,20.047001,10,203.812,1,1,1,0,3,17,16,6,22,1,2,7,1500,No,0
153696,1,1,1,14.109,10,126.188,2,20.562,10,214.297,1,2,2,4,23,Yes,Chlorine,Most of the time,No,2,1,Secondary,78,2,0,0,1,0,0,1,24,184.25,101,18.983999,20.641001,14.813,20.593,12.297,15.625,11.578,3,3,5,5,5,7,7,3,7,Chlorine,Most of the time,Yes,1,26.062,4,31.516001,2,31.922001,4,22.218,1,1,1,1,4,11,20,8,28,1,0,0,0,No,0
153697,0,1,,,,,,,,,,,,,,,,,,,3,Secondary,78,0,1,0,0,0,0,1,34,114.531,53.125,23.656,76.234001,24.016001,24.813,111.031,14.25,58.389999,5,5,3,7,3,1,5,7,5,Stand and settle,Always,No,3,43.140999,10,113.469,3,18.077999,10,161.25,1,0,1,0,2,26,18,10,28,1,0,0,0,No,0
153698,1,1,1,10.562,4,23.797001,2,10.047,4,21.827999,1,2,2,4,11,No,Water filter,Always,Yes,1,1,College,32,1,0,1,0,0,1,1,22,54.313,8.4530001,5.1869998,7.0939999,6.8439999,7.75,6.2189999,7.921,5.5630002,1,7,7,6,7,1,7,7,5,Chlorine,Always,Yes,1,5.5939999,3,41.047001,2,14.734,4,37.764999,1,1,1,1,4,10,27,12,39,1,10,6,10000,Yes,0
